"bairro","Polig_atuac","Areninha","Mini Areninha"
"São Gerardo","Não",1,0
"Jardim Guanabara","Não",1,0
"Carlito Pamplona","Não",0,1
"Monte Castelo","Não",0,0
"Cristo Redentor","Não",0,1
"Jardim Iracema","Não",0,0
"Boa Vista/Castelão","Não",3,0
"Barra do Ceará","5",3,0
"Pirambu","Não",0,0
"Floresta","Não",2,1
"Itaoca","Não",0,0
"Meireles","Não",1,0
"Bom Futuro","Não",0,0
"Vila Velha","Não",2,2
"Jardim América","Não",0,0
"Cocó","Não",2,0
"Cidade 2000","Não",0,1
"Bela Vista","Não",0,0
"Manuel Dias Branco","Não",0,0
"Praia do Futuro I","Não",0,0
"Mucuripe","1",0,0
"Praia do Futuro II","Não",1,0
"Olavo Oliveira","Não",0,0
"Engenheiro Luciano Cavalcante","Não",0,1
"Guararapes","Não",0,0
"Salinas","Não",0,0
"Varjota","Não",0,0
"Dionísio Torres","Não",0,0
"Papicu","Não",0,0
"Cais do Porto","1",0,1
"Aldeota","Não",0,0
"Vicente Pinzón","1",1,1
"Parquelândia","Não",0,0
"Antônio Bezerra","Não",1,1
"Quintino Cunha","Não",0,0
"De Lourdes","Não",0,0
"Amadeu Furtado","Não",0,0
"Henrique Jorge","Não",0,0
"Pedras","Não",1,0
"João XXIII","Não",0,1
"Autran Nunes","Não",1,0
"Jóquei Clube","Não",0,0
"Dom Lustosa","Não",0,0
"Presidente Kennedy","Não",0,1
"Pici","Não",1,0
"Bonsucesso","Não",0,1
"Panamericano","Não",0,1
"Padre Andrade","Não",0,0
"Demócrito Rocha","Não",0,0
"Couto Fernandes","Não",0,0
"Montese","Não",0,0
"Vila União","Não",1,0
"José Bonifácio","Não",0,0
"Aeroporto","Não",0,2
"Ellery","Não",0,0
"Parque Santa Rosa","Não",0,0
"Moura Brasil","Não",0,0
"Benfica","Não",1,0
"Granja Lisboa","2",1,0
"Dendê","Não",0,1
"Mondubim","Não",2,3
"Jardim Cearense","Não",0,0
"Vila Peri","Não",0,0
"Passaré","Não",1,1
"Manoel Sátiro","Não",1,0
"Parque São José","Não",0,0
"Barroso","Não",3,0
"Conjunto Esperança","Não",2,0
"Genibaú","3",1,0
"Centro","Não",0,0
"Granja Portugal","3",2,0
"Bom Jardim","2",0,1
"Prefeito José Walter","Não",1,0
"Planalto Ayrton Senna","Não",1,0
"Aracapé","Não",2,0
"Parque Presidente Vargas","Não",0,0
"Canindezinho","2",0,0
"Novo Mondubim","Não",1,1
"Siqueira","2",1,0
"Parque Manibura","Não",0,0
"Sabiaguaba","Não",0,0
"Lagoa Redonda","Não",2,0
"Coaçu","Não",1,1
"São Bento","Não",1,0
"Paupina","Não",0,1
"Serrinha","Não",2,1
"Joaquim Távora","Não",0,0
"Ancuri","Não",0,0
"Jardim das Oliveiras","Não",1,1
"Edson Queiroz","Não",0,0
"Alto da Balança","Não",0,1
"Cajazeiras","Não",0,0
"Cambeba","Não",0,0
"José de Alencar","Não",0,0
"Parque Santa Maria","Não",1,0
"Guajeru","4",0,1
"Parreão","Não",0,0
"Messejana","Não",3,0
"Curió","4",0,0
"Conjunto Palmeiras","Não",1,0
"Jangurussu","Não",2,3
"Álvaro Weyne","Não",0,0
"Parque Iracema","Não",0,0
"Cidade dos Funcionários","Não",0,0
"Fátima","Não",0,0
"Conjunto Ceará II","3",1,1
"Rodolfo Teófilo","Não",2,0
"Parque Dois Irmãos","Não",2,1
"Aerolândia","Não",1,0
"Itaperi","Não",1,0
"Conjunto Ceará I","3",1,0
"Parangaba","Não",0,1
"Jacarecanga","Não",1,0
"Dias Macêdo","Não",0,0
"Farias Brito","Não",0,0
"Damas","Não",0,1
"Tauape","Não",0,0
"Praia de Iracema","6",0,0
"Maraponga","Não",0,0
"Parque Araxá","Não",0,0
"Sapiranga/Coité","Não",2,0
