"bairro","Polig_atuac","ANE","CAEE","CEI","CRP","EMTI","EMTP"
"São Gerardo","Não",0,0,1,0,0,1
"Jardim Guanabara","Não",0,0,1,1,0,5
"Carlito Pamplona","Não",0,0,1,0,0,2
"Monte Castelo","Não",0,0,1,1,0,3
"Cristo Redentor","Não",0,0,2,1,0,5
"Jardim Iracema","Não",0,0,2,1,0,5
"Boa Vista/Castelão","Não",0,0,4,1,0,2
"Barra do Ceará","5",0,0,6,2,1,8
"Pirambu","Não",0,0,0,0,0,0
"Floresta","Não",0,0,3,1,1,2
"Itaoca","Não",0,0,0,0,1,1
"Meireles","Não",0,1,0,0,0,1
"Bom Futuro","Não",0,0,0,0,0,0
"Vila Velha","Não",0,0,3,1,1,5
"Jardim América","Não",0,0,3,1,1,2
"Cocó","Não",0,0,0,0,0,0
"Cidade 2000","Não",0,0,0,0,0,0
"Bela Vista","Não",0,0,1,0,1,2
"Manuel Dias Branco","Não",0,0,1,0,0,1
"Praia do Futuro I","Não",0,1,2,0,0,2
"Mucuripe","1",0,0,0,0,0,2
"Praia do Futuro II","Não",0,0,1,0,0,1
"Olavo Oliveira","Não",0,0,0,0,0,1
"Engenheiro Luciano Cavalcante","Não",0,1,1,0,0,3
"Guararapes","Não",0,0,0,0,0,0
"Salinas","Não",0,0,0,0,0,0
"Varjota","Não",0,0,1,0,0,0
"Dionísio Torres","Não",0,0,0,0,0,0
"Papicu","Não",0,1,1,0,0,2
"Cais do Porto","1",0,0,4,0,2,4
"Aldeota","Não",0,0,2,0,0,0
"Vicente Pinzón","1",0,0,3,2,0,4
"Parquelândia","Não",0,0,0,0,0,0
"Antônio Bezerra","Não",0,0,1,3,0,3
"Quintino Cunha","Não",0,0,2,1,0,3
"De Lourdes","Não",0,0,0,0,0,0
"Amadeu Furtado","Não",0,0,0,0,0,1
"Henrique Jorge","Não",0,0,3,2,0,2
"Pedras","Não",0,0,2,1,0,2
"João XXIII","Não",0,0,0,2,0,1
"Autran Nunes","Não",0,0,0,4,1,2
"Jóquei Clube","Não",0,0,0,0,0,1
"Dom Lustosa","Não",0,0,2,0,0,3
"Presidente Kennedy","Não",0,0,0,1,1,2
"Pici","Não",0,0,1,2,0,4
"Bonsucesso","Não",0,0,4,1,2,5
"Panamericano","Não",0,0,1,0,0,1
"Padre Andrade","Não",0,0,2,0,0,2
"Demócrito Rocha","Não",0,0,1,0,0,1
"Couto Fernandes","Não",0,0,0,0,0,0
"Montese","Não",0,0,1,0,0,1
"Vila União","Não",0,0,2,2,0,2
"José Bonifácio","Não",0,0,0,0,0,0
"Aeroporto","Não",1,0,1,0,0,1
"Ellery","Não",0,0,0,0,0,1
"Parque Santa Rosa","Não",0,0,0,1,0,1
"Moura Brasil","Não",0,0,1,0,0,1
"Benfica","Não",0,0,0,0,0,0
"Granja Lisboa","2",0,0,9,4,1,11
"Dendê","Não",0,0,4,0,1,1
"Mondubim","Não",1,0,4,6,1,5
"Jardim Cearense","Não",0,0,1,1,0,1
"Vila Peri","Não",0,0,0,1,0,2
"Passaré","Não",0,0,3,4,0,6
"Manoel Sátiro","Não",0,0,0,3,0,2
"Parque São José","Não",1,0,0,5,0,1
"Barroso","Não",1,0,2,2,1,3
"Conjunto Esperança","Não",0,0,2,0,0,2
"Genibaú","3",0,0,1,1,0,5
"Centro","Não",0,0,1,0,0,2
"Granja Portugal","3",3,0,3,5,0,6
"Bom Jardim","2",0,0,1,4,0,6
"Prefeito José Walter","Não",1,0,7,3,1,8
"Planalto Ayrton Senna","Não",0,0,3,2,2,9
"Aracapé","Não",0,0,3,2,0,1
"Parque Presidente Vargas","Não",1,0,1,2,2,1
"Canindezinho","2",0,0,3,1,0,5
"Novo Mondubim","Não",0,0,2,1,0,5
"Siqueira","2",0,0,5,3,3,4
"Parque Manibura","Não",0,0,0,0,0,0
"Sabiaguaba","Não",0,0,0,0,0,1
"Lagoa Redonda","Não",0,0,5,0,0,5
"Coaçu","Não",0,0,0,1,0,1
"São Bento","Não",0,0,3,0,0,0
"Paupina","Não",0,0,1,1,1,3
"Serrinha","Não",0,1,3,2,0,3
"Joaquim Távora","Não",0,1,0,1,0,0
"Ancuri","Não",0,0,0,2,0,2
"Jardim das Oliveiras","Não",0,0,1,2,0,2
"Edson Queiroz","Não",0,0,4,0,0,3
"Alto da Balança","Não",0,0,1,0,0,1
"Cajazeiras","Não",0,0,1,1,0,1
"Cambeba","Não",0,0,0,0,0,0
"José de Alencar","Não",0,0,1,1,1,0
"Parque Santa Maria","Não",0,0,2,0,0,3
"Guajeru","4",0,0,2,1,0,1
"Parreão","Não",0,0,0,0,0,0
"Messejana","Não",0,0,1,0,1,4
"Curió","4",0,0,0,0,1,0
"Conjunto Palmeiras","Não",0,0,5,0,0,6
"Jangurussu","Não",0,0,8,3,1,9
"Álvaro Weyne","Não",0,0,0,3,0,5
"Parque Iracema","Não",0,0,0,0,0,0
"Cidade dos Funcionários","Não",0,0,0,0,0,1
"Fátima","Não",0,0,1,0,0,1
"Conjunto Ceará II","3",0,0,2,1,0,3
"Rodolfo Teófilo","Não",0,0,1,3,0,2
"Parque Dois Irmãos","Não",0,0,3,1,0,5
"Aerolândia","Não",0,0,1,0,0,1
"Itaperi","Não",0,0,2,0,0,3
"Conjunto Ceará I","3",0,0,2,2,2,3
"Parangaba","Não",0,0,2,0,0,1
"Jacarecanga","Não",0,0,1,1,0,1
"Dias Macêdo","Não",0,0,1,3,0,1
"Farias Brito","Não",0,1,0,0,0,1
"Damas","Não",0,0,0,0,0,1
"Tauape","Não",0,0,2,1,2,2
"Praia de Iracema","6",0,0,1,0,0,1
"Maraponga","Não",0,0,0,0,0,1
"Parque Araxá","Não",0,0,0,0,0,0
"Sapiranga/Coité","Não",0,0,1,4,0,5
