"bairro","Polig_atuac","Praças"
"São Gerardo","Não",4
"Jardim Guanabara","Não",2
"Carlito Pamplona","Não",3
"Monte Castelo","Não",2
"Cristo Redentor","Não",9
"Jardim Iracema","Não",0
"Boa Vista/Castelão","Não",2
"Barra do Ceará","5",17
"Pirambu","Não",1
"Floresta","Não",9
"Itaoca","Não",0
"Meireles","Não",9
"Bom Futuro","Não",1
"Vila Velha","Não",15
"Jardim América","Não",4
"Cocó","Não",6
"Cidade 2000","Não",31
"Bela Vista","Não",0
"Manuel Dias Branco","Não",0
"Praia do Futuro I","Não",1
"Mucuripe","1",4
"Praia do Futuro II","Não",1
"Olavo Oliveira","Não",2
"Engenheiro Luciano Cavalcante","Não",10
"Guararapes","Não",2
"Salinas","Não",1
"Varjota","Não",0
"Dionísio Torres","Não",6
"Papicu","Não",2
"Cais do Porto","1",3
"Aldeota","Não",10
"Vicente Pinzón","1",14
"Parquelândia","Não",0
"Antônio Bezerra","Não",6
"Quintino Cunha","Não",4
"De Lourdes","Não",0
"Amadeu Furtado","Não",2
"Henrique Jorge","Não",4
"Pedras","Não",0
"João XXIII","Não",2
"Autran Nunes","Não",4
"Jóquei Clube","Não",2
"Dom Lustosa","Não",0
"Presidente Kennedy","Não",3
"Pici","Não",5
"Bonsucesso","Não",3
"Panamericano","Não",2
"Padre Andrade","Não",0
"Demócrito Rocha","Não",4
"Couto Fernandes","Não",1
"Montese","Não",5
"Vila União","Não",3
"José Bonifácio","Não",5
"Aeroporto","Não",3
"Ellery","Não",2
"Parque Santa Rosa","Não",1
"Moura Brasil","Não",3
"Benfica","Não",3
"Granja Lisboa","2",2
"Dendê","Não",1
"Mondubim","Não",4
"Jardim Cearense","Não",2
"Vila Peri","Não",4
"Passaré","Não",8
"Manoel Sátiro","Não",5
"Parque São José","Não",0
"Barroso","Não",4
"Conjunto Esperança","Não",4
"Genibaú","3",3
"Centro","Não",27
"Granja Portugal","3",1
"Bom Jardim","2",3
"Prefeito José Walter","Não",11
"Planalto Ayrton Senna","Não",2
"Aracapé","Não",1
"Parque Presidente Vargas","Não",0
"Canindezinho","2",1
"Novo Mondubim","Não",2
"Siqueira","2",0
"Parque Manibura","Não",2
"Sabiaguaba","Não",0
"Lagoa Redonda","Não",5
"Coaçu","Não",1
"São Bento","Não",1
"Paupina","Não",3
"Serrinha","Não",5
"Joaquim Távora","Não",4
"Ancuri","Não",1
"Jardim das Oliveiras","Não",3
"Edson Queiroz","Não",8
"Alto da Balança","Não",1
"Cajazeiras","Não",2
"Cambeba","Não",3
"José de Alencar","Não",1
"Parque Santa Maria","Não",1
"Guajeru","4",2
"Parreão","Não",4
"Messejana","Não",13
"Curió","4",0
"Conjunto Palmeiras","Não",1
"Jangurussu","Não",9
"Álvaro Weyne","Não",8
"Parque Iracema","Não",1
"Cidade dos Funcionários","Não",5
"Fátima","Não",9
"Conjunto Ceará II","3",10
"Rodolfo Teófilo","Não",3
"Parque Dois Irmãos","Não",10
"Aerolândia","Não",1
"Itaperi","Não",2
"Conjunto Ceará I","3",14
"Parangaba","Não",10
"Jacarecanga","Não",5
"Dias Macêdo","Não",4
"Farias Brito","Não",3
"Damas","Não",1
"Tauape","Não",2
"Praia de Iracema","6",1
"Maraponga","Não",2
"Parque Araxá","Não",1
"Sapiranga/Coité","Não",5
