"bairro","Polig_atuac","areaB","areaPol","Área território (%)"
"São Gerardo","Não",NA,NA,NA
"Jardim Guanabara","Não",NA,NA,NA
"Carlito Pamplona","Não",NA,NA,NA
"Monte Castelo","Não",NA,NA,NA
"Cristo Redentor","Não",NA,NA,NA
"Jardim Iracema","Não",NA,NA,NA
"Boa Vista/Castelão","Não",NA,NA,NA
"Barra do Ceará","5",4301195.93091514,2118582.34045434,49.26
"Pirambu","Não",NA,NA,NA
"Floresta","Não",NA,NA,NA
"Itaoca","Não",NA,NA,NA
"Meireles","Não",2663995.05996321,1596448.51980557,59.93
"Bom Futuro","Não",NA,NA,NA
"Vila Velha","Não",7180540.32059961,1158998.74917508,16.14
"Jardim América","Não",NA,NA,NA
"Cocó","Não",NA,NA,NA
"Cidade 2000","Não",NA,NA,NA
"Bela Vista","Não",986538.207504098,264882.261396897,26.85
"Manuel Dias Branco","Não",4474390.35378315,72433.2416493357,1.62
"Praia do Futuro I","Não",NA,NA,NA
"Mucuripe","1",875099.98455149,345559.086322552,39.49
"Praia do Futuro II","Não",3179641.4780484,1815077.7559067,57.08
"Olavo Oliveira","Não",NA,NA,NA
"Engenheiro Luciano Cavalcante","Não",NA,NA,NA
"Guararapes","Não",NA,NA,NA
"Salinas","Não",NA,NA,NA
"Varjota","Não",NA,NA,NA
"Dionísio Torres","Não",NA,NA,NA
"Papicu","Não",NA,NA,NA
"Cais do Porto","1",2745642.81525778,933509.039972642,34
"Aldeota","Não",NA,NA,NA
"Vicente Pinzón","1",3147805.49001037,1370615.43574673,43.54
"Parquelândia","Não",NA,NA,NA
"Antônio Bezerra","Não",NA,NA,NA
"Quintino Cunha","Não",NA,NA,NA
"De Lourdes","Não",NA,NA,NA
"Amadeu Furtado","Não",NA,NA,NA
"Henrique Jorge","Não",NA,NA,NA
"Pedras","Não",NA,NA,NA
"João XXIII","Não",1182190.62233684,27328.3326102548,2.31
"Autran Nunes","Não",NA,NA,NA
"Jóquei Clube","Não",NA,NA,NA
"Dom Lustosa","Não",NA,NA,NA
"Presidente Kennedy","Não",NA,NA,NA
"Pici","Não",3756863.18314479,550703.178296575,14.66
"Bonsucesso","Não",2544465.12056868,958138.190105634,37.66
"Panamericano","Não",554612.646176481,552213.943278191,99.57
"Padre Andrade","Não",NA,NA,NA
"Demócrito Rocha","Não",807119.582051785,409244.358457626,50.7
"Couto Fernandes","Não",322813.698057482,300.3263353337,0.09
"Montese","Não",NA,NA,NA
"Vila União","Não",NA,NA,NA
"José Bonifácio","Não",892905.199697215,193193.978295958,21.64
"Aeroporto","Não",NA,NA,NA
"Ellery","Não",NA,NA,NA
"Parque Santa Rosa","Não",NA,NA,NA
"Moura Brasil","Não",426134.810896849,126132.916062292,29.6
"Benfica","Não",1465232.65776545,102278.684547229,6.98
"Granja Lisboa","2",NA,NA,NA
"Dendê","Não",NA,NA,NA
"Mondubim","Não",7161471.32304798,1168063.34163744,16.31
"Jardim Cearense","Não",NA,NA,NA
"Vila Peri","Não",NA,NA,NA
"Passaré","Não",7217130.5462077,50803.2672648858,0.7
"Manoel Sátiro","Não",NA,NA,NA
"Parque São José","Não",NA,NA,NA
"Barroso","Não",3457234.14084663,556443.727563766,16.1
"Conjunto Esperança","Não",NA,NA,NA
"Genibaú","3",2167555.60549801,638.015912982022,0.03
"Centro","Não",4914965.44245284,2700249.4237137,54.94
"Granja Portugal","3",2535272.84172757,986092.972641449,38.89
"Bom Jardim","2",2452743.63197538,153946.663257156,6.28
"Prefeito José Walter","Não",8482444.77373165,1165565.90345656,13.74
"Planalto Ayrton Senna","Não",3400197.47347066,957922.502452049,28.17
"Aracapé","Não",2189022.08950333,396946.979014047,18.13
"Parque Presidente Vargas","Não",NA,NA,NA
"Canindezinho","2",3730799.2844009,805893.009052306,21.6
"Novo Mondubim","Não",NA,NA,NA
"Siqueira","2",6384892.21973624,875490.624847512,13.71
"Parque Manibura","Não",NA,NA,NA
"Sabiaguaba","Não",NA,NA,NA
"Lagoa Redonda","Não",11559045.8558785,1577.05679515719,0.01
"Coaçu","Não",1719408.28888345,1115000.14381319,64.85
"São Bento","Não",2202997.36689151,797341.38826684,36.19
"Paupina","Não",5437871.24860956,4290.4055763939,0.08
"Serrinha","Não",NA,NA,NA
"Joaquim Távora","Não",NA,NA,NA
"Ancuri","Não",NA,NA,NA
"Jardim das Oliveiras","Não",NA,NA,NA
"Edson Queiroz","Não",NA,NA,NA
"Alto da Balança","Não",NA,NA,NA
"Cajazeiras","Não",NA,NA,NA
"Cambeba","Não",NA,NA,NA
"José de Alencar","Não",NA,NA,NA
"Parque Santa Maria","Não",NA,NA,NA
"Guajeru","4",NA,NA,NA
"Parreão","Não",NA,NA,NA
"Messejana","Não",NA,NA,NA
"Curió","4",NA,NA,NA
"Conjunto Palmeiras","Não",5520257.8763925,0.948992010795952,0
"Jangurussu","Não",8046050.04483016,1347500.24963341,16.75
"Álvaro Weyne","Não",NA,NA,NA
"Parque Iracema","Não",NA,NA,NA
"Cidade dos Funcionários","Não",NA,NA,NA
"Fátima","Não",NA,NA,NA
"Conjunto Ceará II","3",1833540.75151435,952.482038436698,0.05
"Rodolfo Teófilo","Não",NA,NA,NA
"Parque Dois Irmãos","Não",NA,NA,NA
"Aerolândia","Não",NA,NA,NA
"Itaperi","Não",NA,NA,NA
"Conjunto Ceará I","3",NA,NA,NA
"Parangaba","Não",NA,NA,NA
"Jacarecanga","Não",NA,NA,NA
"Dias Macêdo","Não",NA,NA,NA
"Farias Brito","Não",NA,NA,NA
"Damas","Não",NA,NA,NA
"Tauape","Não",NA,NA,NA
"Praia de Iracema","6",535979.797311749,514576.9722519,96.01
"Maraponga","Não",NA,NA,NA
"Parque Araxá","Não",NA,NA,NA
"Sapiranga/Coité","Não",NA,NA,NA
